id,documentIde,actualFileRef,originalFileRef,pageNo,name,tenantId,productId,preflightStatus,previewRef,mediaBox_x,mediaBox_y,mediaBox_width,mediaBox_hight,trimBox_x,trimBox_y,trimBox_width,trimBox_hight,colors_0_name,colors_0_overprint,colors_0_purpose,colors_0_opacity,colors_0_density,status,NumberPages,date,colors_1_name,colors_1_overprint,colors_1_purpose,colors_1_opacity,colors_1_density,colors_2_name,colors_2_overprint,colors_2_purpose,colors_2_opacity,colors_2_density,colors_3_name,colors_3_overprint,colors_3_purpose,colors_3_opacity,colors_3_density,colors_4_name,colors_4_cmyk_c,colors_4_cmyk_m,colors_4_cmyk_y,colors_4_cmyk_k,colors_4_overprint,colors_4_purpose,colors_4_opactiy,colors_4_density,bildanteil_in_%,falzkanten,dateigröße,seitenverhältnisse,output_intent,anzahl_pantonfarben,seiten_anzahl,target_format,target_druckseiten,target_papiertyp,target_typ
524f6hz7512rs180yyj55s5g,x18j15j2-97j1-6856-aw32-946j0w9971j2,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/218i2s05-y641-67iu-3t6w-g291hb9a9364/content/218i2s05-y641-67iu-3t6w-g291hb9a9364,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/218i2s05-y641-67iu-3t6w-g291hb9a9364/content/218i2s05-y641-67iu-3t6w-g291hb9a9364,1,gklehn0.pdf,51332v51-4b04-3971-2t29-r63m2229jh94,65475f65-i338-2it6-zo5s-let0110m66mr,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/l20wzv44-i4h4-0499-08p4-492893j2s294/thumbs/l20wzv44-i4h4-0499-08p4-492893j2s294,0.0,0.0,49,153,15.1,32.1,35,140,Cyan,Unspecified,PRINTING,OPAQUE,0.62,PREFLIGHT_OK,1,2020-02-10 06:51:28,Magenta,Unspecified,PRINTING,UNSPECIFIED,0.3,Yellow,Overprint,LINE,OPAQUE,0.68,Black,Knockout,PRINTING,OPAQUE,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,0,2.6,3.1,F39,0.91,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
475v7dj0151vo940ahc50d8y,v92g58u6-44e1-5628-yd05-491c6q4200v1,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/397g8l86-v175-63kp-1n8b-x577ds7y5779/content/397g8l86-v175-63kp-1n8b-x577ds7y5779,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/397g8l86-v175-63kp-1n8b-x577ds7y5779/content/397g8l86-v175-63kp-1n8b-x577ds7y5779,1,rprier1.pdf,38786p63-9q46-6930-2m47-t00l5805yf21,76616y21-b525-5df6-ng6l-iaw8624x27he,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/s40kuz80-s5r7-6310-17t6-654602h2k428/thumbs/s40kuz80-s5r7-6310-17t6-654602h2k428,0.0,0.0,138,153,20.1,32.1,125,137,Black,Unspecified,PRINTING,UNSPECIFIED,0.51,PREFLIGHT_OK,1,2018-04-21 03:09:40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,0,2.41,1.1,F78,0.52,1,Freies_Format,Einseitig,angestrichen_neues_Profil,etikett
189f1mj3107qz248lwx12h8e,l89y54r9-36o4-3410-ws59-863x1w9181h6,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/283u9t65-e162-59jq-0u3h-w282hy1p6404/content/283u9t65-e162-59jq-0u3h-w282hy1p6404,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/283u9t65-e162-59jq-0u3h-w282hy1p6404/content/283u9t65-e162-59jq-0u3h-w282hy1p6404,1,nquodling2.pdf,75042n95-5k87-9912-2q18-g23y8157ir99,30400y18-a049-4wg7-pc2x-tej2745x16ci,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/g47tud61-a9t9-6809-85s9-898911d7u440/thumbs/g47tud61-a9t9-6809-85s9-898911d7u440,0.0,0.0,49,175,15.1,32.1,38,163,Cyan,Knockout,PRINTING,NORMAL,0.26,PREFLIGHT_OK,1,2021-02-19 21:49:47,Magenta,Overprint,LACK,TRANSPARENT,0.02,Yellow,Overprint,PRINTING,UNSPECIFIED,0.08,Black,Unspecified,PRINTING,UNSPECIFIED,0.64,Sky,0.08,0.05,0.05,0.0,Unspecified,LACK,UNSPECIFIED,0.95,62,0,2.26,3.6,F39,0.45,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
144z3sq0680ba229gkw96z5t,r30l11i5-47m8-8159-qb46-707o2h1327a4,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/096o9k69-a679-18fj-5x8n-z960jb0d5168/content/096o9k69-a679-18fj-5x8n-z960jb0d5168,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/096o9k69-a679-18fj-5x8n-z960jb0d5168/content/096o9k69-a679-18fj-5x8n-z960jb0d5168,1,mmattschas3.pdf,16111t67-5m00-4465-5l50-o76c7858nh30,63877c57-h353-1lo1-jg5l-cbk6707z50qs,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/h26kjk80-y2k8-6187-44j9-610532i2i197/thumbs/h26kjk80-y2k8-6187-44j9-610532i2i197,0.0,0.0,200,153,15.1,41.17,186,137,Cyan,Knockout,LINE,UNSPECIFIED,0.71,PREFLIGHT_OK,1,2019-12-09 16:24:29,Magenta,Unspecified,LACK,TRANSPARENT,0.03,Yellow,Overprint,PRINTING,OPAQUE,0.6,Black,Unspecified,PRINTING,UNSPECIFIED,0.63,Navi,0.06,0.05,0.08,0.0,Unspecified,PRINTING,OPAQUE,0.33,56,0,2.42,1.3,F51,0.74,1,Freies_Format,Einseitig,gestrichen_neues_Profil,etikett
723y0ax6361qo435ftc69t8b,p42a17r8-11m2-6323-bd53-542h0c5814e5,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/420i5v09-y440-36jh-1r6q-r517kr2e2889/content/420i5v09-y440-36jh-1r6q-r517kr2e2889,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/420i5v09-y440-36jh-1r6q-r517kr2e2889/content/420i5v09-y440-36jh-1r6q-r517kr2e2889,2,miannitti4.pdf,04288z73-4u09-3141-4e00-s60r0852id83,98835u61-w848-9fs5-jv9g-jyu9213y73hj,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/n01jlc83-h6u1-2711-77s7-514329m4n647/thumbs/n01jlc83-h6u1-2711-77s7-514329m4n647,0.0,0.0,195,175,15.1,32.1,184,160,Cyan,Unchanged,LINE,TRANSPARENT,0.95,PREFLIGHT_OK,2,2021-12-16 17:00:18,Magenta,Overprint,PRINTING,NORMAL,0.11,Yellow,Knockout,LACK,UNSPECIFIED,0.06,Black,Unspecified,PRINTING,NORMAL,0.87,100_MPH,0.07,0.04,0.01,0.0,Knockout,PRINTING,OPAQUE,0.99,59,0,13,1.1,F78,0.42,1,Freies_Format,Einseitig,angestrichen_neues_Profil,etikett
249z7ev9323jv027hic99u7m,h03f14i6-37c9-2337-ki00-730p7f0521l6,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/934a0w73-z560-20on-5d3x-x325nz3u0696/content/934a0w73-z560-20on-5d3x-x325nz3u0696,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/934a0w73-z560-20on-5d3x-x325nz3u0696/content/934a0w73-z560-20on-5d3x-x325nz3u0696,2,mtomkin5.pdf,73129c22-8x52-3180-8i31-w44z0049nx70,41590t69-t722-8ax7-hz3t-mah1122i83zp,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/g13yfd02-j0i8-8884-67p9-110220z7b636/thumbs/g13yfd02-j0i8-8884-67p9-110220z7b636,0.0,0.0,148,105,15.1,32.1,133,95,Black,Knockout,LACK,OPAQUE,0.46,PREFLIGHT_OK,2,2021-06-04 07:05:17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100_MPH,0.04,0.08,0.1,0.0,Unchanged,PRINTING,UNSPECIFIED,0.76,61,0,2.14,1.4,F39,0.56,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
243n7zg4243qz141fty94s8j,l72x42d0-12g6-8892-qb20-603v5n8188q6,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/044z9n90-v075-23gr-7t6m-d450bw4v7782/content/044z9n90-v075-23gr-7t6m-d450bw4v7782,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/044z9n90-v075-23gr-7t6m-d450bw4v7782/content/044z9n90-v075-23gr-7t6m-d450bw4v7782,1,worvis6.pdf,07813g64-4z21-8820-8b53-r14u8317kd35,77287u10-y013-4vh8-oj7a-gvt1178i27uw,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/p38tcb82-t3m9-4566-55y6-342289h8d505/thumbs/p38tcb82-t3m9-4566-55y6-342289h8d505,0.0,0.0,148,105,15.1,32.1,135,95,Black,Unspecified,LACK,TRANSPARENT,0.74,PREFLIGHT_OK,1,2020-10-18 03:03:18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mint,0.03,0.09,0.04,0.0,Unchanged,PRINTING,OPAQUE,0.48,54,0,1,1.4,F51,0.02,1,Freies_Format,Einseitig,gestrichen_neues_Profil,etikett
994y9uv3906th904kev95l4h,e44z81d0-33j8-0606-fq74-558d9u8813g8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/818t1x73-x943-07ke-8e6m-p390bq1v9477/content/818t1x73-x943-07ke-8e6m-p390bq1v9477,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/818t1x73-x943-07ke-8e6m-p390bq1v9477/content/818t1x73-x943-07ke-8e6m-p390bq1v9477,1,bbartod7.pdf,34041g14-5j28-9706-1v26-d68b6825qq06,95273z31-l673-8mf2-jc2i-oim5405y88ve,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/c37rrf82-c3y2-3915-25k8-082420k2e856/thumbs/c37rrf82-c3y2-3915-25k8-082420k2e856,0.0,0.0,187,104,20.1,32.1,172,91,Black,Unspecified,PRINTING,OPAQUE,0.69,PREFLIGHT_OK,2,2017-04-05 06:24:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100_MPH,0.05,0.04,0.07,0.0,Unspecified,LINE,UNSPECIFIED,0.11,50,0,2.45,1.8,F47,0.72,1,Freies_Format,Einseitig,angestrichen_altes_Profil,etikett
859v9qu8898eb994bnb25r4i,l67u86p5-16g4-9113-ri20-687p1s5693q8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/602r1o95-e740-65sn-7h0c-l697jq8c9014/content/602r1o95-e740-65sn-7h0c-l697jq8c9014,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/602r1o95-e740-65sn-7h0c-l697jq8c9014/content/602r1o95-e740-65sn-7h0c-l697jq8c9014,1,wdeverale8.pdf,49429n32-8h75-8709-3j52-z18r3212nr52,81611j00-h160-8ef5-si9w-lta1201f38ux,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/c01mcw54-c5d8-6186-94b1-080921e0k456/thumbs/c01mcw54-c5d8-6186-94b1-080921e0k456,0.0,0.0,33,175,15.1,41.17,21,165,Cyan,Knockout,PRINTING,NORMAL,0.87,PREFLIGHT_OK,2,2016-06-04 13:40:32,Magenta,Unspecified,LINE,NORMAL,0.21,Yellow,Knockout,LACK,TRANSPARENT,0.63,Black,Unspecified,LINE,NORMAL,0.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,0,2.86,5.3,F39,0.46,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
576n0bn7677an878umd25r8s,w80v86m4-62a9-3129-uo86-057k3o5145e5,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/199j7q94-h795-41do-7e2r-h499rm1f9401/content/199j7q94-h795-41do-7e2r-h499rm1f9401,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/199j7q94-h795-41do-7e2r-h499rm1f9401/content/199j7q94-h795-41do-7e2r-h499rm1f9401,1,cgrelak9.pdf,13658l79-8c14-9827-6o73-l92b4026uj49,08555g74-h853-4jh5-si0v-vka4865l58ut,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/x63inw84-c1r0-9242-02m8-187488y9r137/thumbs/x63inw84-c1r0-9242-02m8-187488y9r137,0.0,0.0,195,175,15.1,41.17,182,159,Black,Unspecified,LACK,OPAQUE,0.68,PREFLIGHT_OK,1,2019-10-19 15:11:38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,0,2.35,1.1,F78,0.1,1,Freies_Format,Einseitig,gestrichen_altes_Profil,etikett
