id,documentIde,actualFileRef,originalFileRef,pageNo,name,tenantId,productId,preflightStatus,previewRef,mediaBox_x,mediaBox_y,mediaBox_width,mediaBox_hight,trimBox_x,trimBox_y,trimBox_width,trimBox_hight,colors_0_name,colors_0_overprint,colors_0_purpose,colors_0_opacity,colors_0_density,status,NumberPages,date,colors_1_name,colors_1_overprint,colors_1_purpose,colors_1_opacity,colors_1_density,colors_2_name,colors_2_overprint,colors_2_purpose,colors_2_opacity,colors_2_density,colors_3_name,colors_3_overprint,colors_3_purpose,colors_3_opacity,colors_3_density,colors_4_name,colors_4_cmyk_c,colors_4_cmyk_m,colors_4_cmyk_y,colors_4_cmyk_k,colors_4_overprint,colors_4_purpose,colors_4_opactiy,colors_4_density,bildanteil_in_%,falzkanten,dateigröße,seitenverhältnisse,output_intent,anzahl_pantonfarben,seiten_anzahl,target_format,target_druckseiten,target_papiertyp,target_typ
604b6kl1615uv994ega90q1m,w76f93g1-90m4-3912-ke42-601c8o1040t3,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/533a5y20-z060-01rv-4t6d-s692ml5y2856/content/533a5y20-z060-01rv-4t6d-s692ml5y2856,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/533a5y20-z060-01rv-4t6d-s692ml5y2856/content/533a5y20-z060-01rv-4t6d-s692ml5y2856,1,bhember0.pdf,34057r42-0f81-7737-5e99-b29r7030we08,61631d13-r959-2ds3-bl5l-kqr6523d33he,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/g86jfd78-l0l7-1877-95s8-674084e1j457/thumbs/g86jfd78-l0l7-1877-95s8-674084e1j457,0.0,0.0,105,175,20.1,41.17,94,164,Cyan,Unspecified,LINE,OPAQUE,0.08,PREFLIGHT_OK,2,2015-10-28 16:33:06,Magenta,Overprint,LACK,TRANSPARENT,0.72,Yellow,Unchanged,LACK,OPAQUE,0.3,Black,Unchanged,LINE,NORMAL,0.91,Sky,0.03,0.09,0.03,0.0,Unspecified,LACK,UNSPECIFIED,0.49,13.28,1,5.0,1.7,F51,0.94,1,DIN_A6_Hoch,Einseitig,gestrichen_neues_Profil,flyer
765x2ci7589wk046tcs21k7a,u25d85t7-26x8-0195-yj54-651u8v5448b6,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/799a8i78-g065-46qc-9y6e-o830lw9p0749/content/799a8i78-g065-46qc-9y6e-o830lw9p0749,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/799a8i78-g065-46qc-9y6e-o830lw9p0749/content/799a8i78-g065-46qc-9y6e-o830lw9p0749,1,astanway1.pdf,51919f42-5q99-4945-2d18-v82z0095uj57,53236y07-v333-1nb4-yn1j-lli3748i55rl,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/h34plc81-h2t5-3331-51z1-643948w2k776/thumbs/h34plc81-h2t5-3331-51z1-643948w2k776,0.0,0.0,105,148,15.1,32.1,90,132,Black,Overprint,PRINTING,TRANSPARENT,0.83,PREFLIGHT_OK,1,2017-07-12 04:30:05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VarGlos,0.08,0.03,0.06,0.0,Knockout,PRINTING,TRANSPARENT,0.65,9.41,1,5.0,1.4,F52,0.08,1,DIN_A6_Hoch,Einseitig,angestrichen_neues_Profil,flyer
875d6ch7398ww648jku06a2f,y64b04f9-03k6-7655-ey70-217e0v1797v0,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/815s8n01-z611-21ze-1j6l-j131ki6c3294/content/815s8n01-z611-21ze-1j6l-j131ki6c3294,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/815s8n01-z611-21ze-1j6l-j131ki6c3294/content/815s8n01-z611-21ze-1j6l-j131ki6c3294,2,hveschi2.pdf,51039y46-3c60-1280-0w76-y01a6878mh85,08588b85-h794-1wd3-go8c-xry3377k96dx,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/t89iak04-z8t9-1624-73u4-245048a4d816/thumbs/t89iak04-z8t9-1624-73u4-245048a4d816,0.0,0.0,148,175,15.1,41.17,137,163,Black,Knockout,LINE,UNSPECIFIED,0.81,PREFLIGHT_OK,1,2020-07-05 07:42:02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100_MPH,0.03,0.06,0.06,0.0,Unspecified,LINE,OPAQUE,0.59,14.8,1,1,1.2,F47,0.71,1,DIN_A5_Hoch,Einseitig,angestrichen_altes_Profil,flyer
178u9br4477pc127hur51x8p,q54j79i7-89a1-3553-ae31-749o6x8732x7,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/408l6n00-s952-16bu-6k2u-y337xk9v6752/content/408l6n00-s952-16bu-6k2u-y337xk9v6752,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/408l6n00-s952-16bu-6k2u-y337xk9v6752/content/408l6n00-s952-16bu-6k2u-y337xk9v6752,1,nbaynon3.pdf,49426v58-5z02-0923-2n63-u33v5871gb22,14228p61-s068-8yt8-bl6i-ees2986x31qy,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/r43kcu21-v6b0-3072-28y8-445169w9g264/thumbs/r43kcu21-v6b0-3072-28y8-445169w9g264,0.0,0.0,297,104,15.1,41.17,286,91,Cyan,Unchanged,PRINTING,UNSPECIFIED,0.65,PREFLIGHT_OK,1,2019-05-18 10:12:39,Magenta,Unchanged,LACK,TRANSPARENT,0.26,Yellow,Knockout,LACK,UNSPECIFIED,0.19,Black,Unchanged,LINE,UNSPECIFIED,0.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.41,2,5.0,2.9,F47,0.69,2,DIN_A4_Quer,Doppelseitig,angestrichen_altes_Profil,flyer
145m3jm6636rd378hwh17w7j,v71l82u6-37x3-6443-bn26-395n4p3662y3,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/364w0o08-k111-93cw-2m0z-f522vk2u6488/content/364w0o08-k111-93cw-2m0z-f522vk2u6488,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/364w0o08-k111-93cw-2m0z-f522vk2u6488/content/364w0o08-k111-93cw-2m0z-f522vk2u6488,1,abrangan4.pdf,92318q45-2r04-7075-5r86-f84h4330hy65,27284j40-o706-8ip1-sw5p-dxj0864r37wg,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/y13ssw95-d9t5-6945-17i4-700617y2p747/thumbs/y13ssw95-d9t5-6945-17i4-700617y2p747,0.0,0.0,195,175,20.1,41.17,184,163,Black,Overprint,LACK,OPAQUE,0.27,PREFLIGHT_OK,2,2016-07-24 14:48:59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,0,20,1.1,F52,0.63,1,Freies_Format,Einseitig,angestrichen_neues_Profil,flyer
412l6yw8307az621dup55w8z,g95f39c4-72g4-4743-rd37-540n9h9182f6,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/726w6m43-n377-36fc-5k0j-x217kr3c7845/content/726w6m43-n377-36fc-5k0j-x217kr3c7845,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/726w6m43-n377-36fc-5k0j-x217kr3c7845/content/726w6m43-n377-36fc-5k0j-x217kr3c7845,1,aaps5.pdf,29544x89-9x78-0030-8i31-d76g6893jq89,05607h33-i761-3tx3-es8f-cep1340i29bb,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/v26rpg87-p5h7-5197-53j5-229903x9c387/thumbs/v26rpg87-p5h7-5197-53j5-229903x9c387,0.0,0.0,200,153,15.1,32.1,184,137,Cyan,Unchanged,LINE,OPAQUE,0.89,PREFLIGHT_OK,2,2021-11-16 13:02:18,Magenta,Unchanged,LACK,UNSPECIFIED,0.71,Yellow,Knockout,PRINTING,OPAQUE,0.81,Black,Overprint,LACK,UNSPECIFIED,0.07,Sky,0.06,0.06,0.01,0.0,Unchanged,LACK,OPAQUE,0.5,4.44,1,5.0,1.3,F47,0.75,2,Freies_Format,Doppelseitig,angestrichen_altes_Profil,flyer
148c9fq6266yl194hvw43s9z,h52m64j9-25h3-8599-qo00-657d0a3890y4,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/407o7e15-c564-68id-7y7v-n522bd9z7590/content/407o7e15-c564-68id-7y7v-n522bd9z7590,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/407o7e15-c564-68id-7y7v-n522bd9z7590/content/407o7e15-c564-68id-7y7v-n522bd9z7590,2,rfarquharson6.pdf,50727h25-3z85-4329-8r37-r37t1157lf02,01751s60-x548-2da1-ec9m-xev2928b85wz,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/b81nhy01-o2p8-9963-07y3-501878u9z470/thumbs/b81nhy01-o2p8-9963-07y3-501878u9z470,0.0,0.0,210,175,15.1,32.1,200,161,Black,Knockout,LINE,OPAQUE,0.63,PREFLIGHT_OK,2,2019-10-19 06:54:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Navi,0.06,0.07,0.09,0.0,Unchanged,LACK,NORMAL,0.66,21.24,0,5.0,1.2,F47,0.07,1,DIN_A4_Hoch,Einseitig,angestrichen_altes_Profil,flyer
882t0ah3775rd231mxj92u3i,t21l68r0-34b2-0068-if90-952l5l9274s6,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/339s9f62-l067-29ly-4x0m-k956ea2e9278/content/339s9f62-l067-29ly-4x0m-k956ea2e9278,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/339s9f62-l067-29ly-4x0m-k956ea2e9278/content/339s9f62-l067-29ly-4x0m-k956ea2e9278,1,ksilverstone7.pdf,50148c41-1k85-3851-4z80-s47n4719iz63,55854y42-d536-3zu1-dy8q-cay1601s80gn,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/l11uve50-e2q5-2299-81a5-408625a9m029/thumbs/l11uve50-e2q5-2299-81a5-408625a9m029,0.0,0.0,148,210,20.1,32.1,138,200,Black,Unchanged,PRINTING,TRANSPARENT,0.77,PREFLIGHT_OK,2,2018-10-08 01:58:28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VarGlos,0.03,0.04,0.03,0.0,Unchanged,PRINTING,TRANSPARENT,0.05,9.6,2,5.0,1.4,F47,0.43,1,DIN_A5_Hoch,Einseitig,angestrichen_altes_Profil,flyer
778i9pq4638tb732sqf36u2d,q27r54d1-81x4-9543-jg53-637u6h2986j4,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/530j4p54-u358-75aq-4e5b-j041eg6v7379/content/530j4p54-u358-75aq-4e5b-j041eg6v7379,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/530j4p54-u358-75aq-4e5b-j041eg6v7379/content/530j4p54-u358-75aq-4e5b-j041eg6v7379,2,mmckerton8.pdf,66568o08-2h38-7161-6c37-n63n8834ww28,44825l69-k292-7ou3-yb3x-jot5784b27yn,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/m48ibi02-a2q0-7593-98r4-263134s7o331/thumbs/m48ibi02-a2q0-7593-98r4-263134s7o331,0.0,0.0,200,153,15.1,32.1,184,142,Black,Unchanged,LACK,OPAQUE,0.2,PREFLIGHT_OK,2,2018-09-13 15:00:09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24_Karat,0.02,0.01,0.02,0.0,Overprint,LINE,TRANSPARENT,0.08,1.22,2,5.0,1.3,F47,0.2,1,Freies_Format,Einseitig,angestrichen_altes_Profil,flyer
193v6xs3681zt381adj09l1h,j49u54z6-07y3-7281-lp62-257c6n9515x4,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/778p8y90-v990-81lv-8i4y-r559ji9c5507/content/778p8y90-v990-81lv-8i4y-r559ji9c5507,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/778p8y90-v990-81lv-8i4y-r559ji9c5507/content/778p8y90-v990-81lv-8i4y-r559ji9c5507,2,lsandiland9.pdf,68592r21-0c06-4362-4j99-k34g8876ja28,09434d26-p863-5gx4-uh5s-vok9988b97rm,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/v09ppw42-e7x4-8979-30n7-650531q6q463/thumbs/v09ppw42-e7x4-8979-30n7-650531q6q463,0.0,0.0,210,175,20.1,41.17,197,160,Black,Unspecified,PRINTING,NORMAL,0.03,PREFLIGHT_OK,2,2021-09-27 18:47:02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.41,1,5.0,1.2,F52,0.35,2,DIN_A4_Hoch,Doppelseitig,angestrichen_neues_Profil,flyer
