id,documentIde,actualFileRef,originalFileRef,pageNo,name,tenantId,productId,preflightStatus,previewRef,mediaBox_x,mediaBox_y,mediaBox_width,mediaBox_hight,trimBox_x,trimBox_y,trimBox_width,trimBox_hight,colors_0_name,colors_0_overprint,colors_0_purpose,colors_0_opacity,colors_0_density,status,NumberPages,date,colors_1_name,colors_1_overprint,colors_1_purpose,colors_1_opacity,colors_1_density,colors_2_name,colors_2_overprint,colors_2_purpose,colors_2_opacity,colors_2_density,colors_3_name,colors_3_overprint,colors_3_purpose,colors_3_opacity,colors_3_density,colors_4_name,colors_4_cmyk_c,colors_4_cmyk_m,colors_4_cmyk_y,colors_4_cmyk_k,colors_4_overprint,colors_4_purpose,colors_4_opactiy,colors_4_density,bildanteil_in_%,falzkanten,dateigröße,seitenverhältnisse,output_intent,anzahl_pantonfarben,seiten_anzahl,target_format,target_druckseiten,target_papiertyp,target_typ
784o9tk7549qq032crt26j3s,x55w27g4-02l8-1742-ej83-177t9v3235e8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/642f2k48-q237-01wz-0u8c-p585qj9g4888/content/642f2k48-q237-01wz-0u8c-p585qj9g4888,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/642f2k48-q237-01wz-0u8c-p585qj9g4888/content/642f2k48-q237-01wz-0u8c-p585qj9g4888,2,acrockett0.pdf,92765d45-2s97-1316-9e39-p99j4943vq91,04551j07-t227-0kh2-ul3j-isn9443n92xh,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/n12fbx55-b2d6-4142-44s2-230582h9o851/thumbs/n12fbx55-b2d6-4142-44s2-230582h9o851,0.0,0.0,841,594,15.1,41.17,830,579,Cyan,Knockout,LACK,UNSPECIFIED,0.39,PREFLIGHT_OK,1,2020-12-29 11:44:47,Magenta,Overprint,LINE,UNSPECIFIED,0.38,Yellow,Unchanged,LACK,NORMAL,0.53,Black,Unchanged,LACK,NORMAL,0.03,VarGlos,0.09,0.07,0.04,0.0,Knockout,LINE,OPAQUE,0.32,80,0,10,1.4,F78,0.4,1,DIN_A0_Hoch,Einseitig,gestrichen_neues_Profil,Poster
303n2zc5512iw936qkf19y9u,a72u70k9-63p2-8235-av01-204i9d8547y4,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/399t4u09-m582-85wa-5b9f-u941lc8r8667/content/399t4u09-m582-85wa-5b9f-u941lc8r8667,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/399t4u09-m582-85wa-5b9f-u941lc8r8667/content/399t4u09-m582-85wa-5b9f-u941lc8r8667,2,ksimionato1.pdf,60129y62-9y62-1527-7c96-c96n2550tv51,13287b90-m946-4pf0-bj1q-tbg4491z53sf,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/y30oqx38-k9b7-3355-19s1-877992x3v849/thumbs/y30oqx38-k9b7-3355-19s1-877992x3v849,0.0,0.0,841,594,20.1,41.17,827,583,Black,Unchanged,LINE,OPAQUE,0.24,PREFLIGHT_OK,2,2020-07-18 20:42:19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,0,27,1.4,F78,0.41,2,DIN_A0_Hoch,Doppelseitig,gestrichen_altes_Profil,Poster
435h4ep4781hj634ljt83f3i,g57q22j2-77x1-0653-fg86-214d1u6072n8,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/285r7l88-t329-51ur-3u7r-b507po7c8988/content/285r7l88-t329-51ur-3u7r-b507po7c8988,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/285r7l88-t329-51ur-3u7r-b507po7c8988/content/285r7l88-t329-51ur-3u7r-b507po7c8988,2,jogers2.pdf,60361f18-0c81-1520-9k88-c19y4201yy27,44308i65-y254-6ls9-ay6h-bbk8829f72dn,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/m96nuu33-i2s7-3316-81b5-792098o3l724/thumbs/m96nuu33-i2s7-3316-81b5-792098o3l724,0.0,0.0,800,1011,15.1,41.17,786,995,Cyan,Unspecified,LINE,UNSPECIFIED,0.76,PREFLIGHT_OK,1,2021-06-23 07:52:39,Magenta,Unchanged,LINE,UNSPECIFIED,0.31,Yellow,Knockout,LACK,OPAQUE,0.84,Black,Unchanged,PRINTING,TRANSPARENT,0.2,Lime,0.08,0.06,0.05,0.0,Unspecified,LINE,NORMAL,0.96,78,0,10,1.3,F47,0.49,1,Freies_Format,Einseitig,angestrichen_altes_Profil,Poster
928e8fg7805ql350ofv70x8f,k16z61s8-09u7-5307-hy18-753t5g4917n0,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/784b4a93-w835-08vt-8s9p-b326rh3l6068/content/784b4a93-w835-08vt-8s9p-b326rh3l6068,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/784b4a93-w835-08vt-8s9p-b326rh3l6068/content/784b4a93-w835-08vt-8s9p-b326rh3l6068,2,rraftery3.pdf,79950j51-5s14-7205-1m05-x20r6318nb02,21133e81-l105-5rw4-jz3l-iwe4164m47ps,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/l46oqg99-b6n2-3644-86l8-625094t1h456/thumbs/l46oqg99-b6n2-3644-86l8-625094t1h456,0.0,0.0,800,981,15.1,41.17,788,971,Cyan,Unspecified,LINE,NORMAL,0.06,PREFLIGHT_OK,1,2021-12-04 10:07:41,Magenta,Unspecified,LINE,NORMAL,0.08,Yellow,Unspecified,LACK,NORMAL,0.65,Black,Unspecified,PRINTING,NORMAL,0.02,24_Karat,0.05,0.09,0.01,0.0,Overprint,PRINTING,NORMAL,0.17,70,0,40,1.2,F39,0.41,2,Freies_Format,Doppelseitig,gestrichen_altes_Profil,Poster
769q2jk4481nf182lws47r2l,z70m53w2-80m0-4971-oa03-312x9u6717n0,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/760w6q30-i020-98dy-1o0q-f853mg2n8315/content/760w6q30-i020-98dy-1o0q-f853mg2n8315,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/760w6q30-i020-98dy-1o0q-f853mg2n8315/content/760w6q30-i020-98dy-1o0q-f853mg2n8315,1,amorby4.pdf,46703m01-1q52-8575-2g86-j15a7336sn01,87540v27-k669-2dq8-et7n-sbn5080v45ou,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/h96raq99-r8f6-6750-05b5-444378v8j029/thumbs/h96raq99-r8f6-6750-05b5-444378v8j029,0.0,0.0,800,1000,15.1,41.17,786,986,Cyan,Unchanged,LINE,TRANSPARENT,0.01,PREFLIGHT_OK,2,2015-01-06 08:11:15,Magenta,Overprint,PRINTING,OPAQUE,0.55,Yellow,Unspecified,LINE,UNSPECIFIED,0.59,Black,Overprint,PRINTING,NORMAL,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,0,10,1.3,F78,0.1,1,Freies_Format,Einseitig,gestrichen_neues_Profil,Poster
308j5fv6015qj452bgh29y0d,e14v28w5-72g2-9151-cn65-415k7u4209z5,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/276p9e50-m150-52fd-3j2n-z473bd8m3367/content/276p9e50-m150-52fd-3j2n-z473bd8m3367,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/276p9e50-m150-52fd-3j2n-z473bd8m3367/content/276p9e50-m150-52fd-3j2n-z473bd8m3367,2,achallicombe5.pdf,42644p53-2u54-7350-3u20-v08z0088yo41,21742y10-v765-8qk1-ko7v-wke8878b99eb,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/y22qmp07-a4h4-9224-09a3-280336v6r345/thumbs/y22qmp07-a4h4-9224-09a3-280336v6r345,0.0,0.0,841,594,15.1,32.1,826,579,Black,Unchanged,PRINTING,NORMAL,0.19,PREFLIGHT_OK,1,2018-02-05 02:21:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74,0,11,1.4,undefinde,0.13,1,DIN_A0_Hoch,Einseitig,gestrichen_neues_Profil,Poster
727x4ud0190ku923yqq13u0q,b15n06q5-54m7-6994-bb23-895e2t2066r3,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/825b2c75-g922-53co-7g0q-j939ov4s5104/content/825b2c75-g922-53co-7g0q-j939ov4s5104,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/825b2c75-g922-53co-7g0q-j939ov4s5104/content/825b2c75-g922-53co-7g0q-j939ov4s5104,1,mbragge6.pdf,96530j00-5f21-5915-5f30-g25t5962vb60,44692n79-g176-1yx7-rv3i-rnl3744u75xe,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/j40fhq47-n2a8-0539-23u4-604800u9o392/thumbs/j40fhq47-n2a8-0539-23u4-604800u9o392,0.0,0.0,1020,1000,20.1,32.1,1010,988,Black,Overprint,PRINTING,UNSPECIFIED,0.76,PREFLIGHT_OK,2,2017-09-12 18:32:55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Navi,0.05,0.01,0.06,0.0,Overprint,LINE,UNSPECIFIED,0.5,80,0,11,1,F39,0.23,2,Freies_Format,Doppelseitig,gestrichen_altes_Profil,Poster
261z4fr4752bt413cib24d1q,d74e49n2-93o4-7279-uh93-572l2l1090c0,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/648d2z25-c410-86vt-2a0p-w061lx4s9778/content/648d2z25-c410-86vt-2a0p-w061lx4s9778,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/648d2z25-c410-86vt-2a0p-w061lx4s9778/content/648d2z25-c410-86vt-2a0p-w061lx4s9778,2,kjone7.pdf,67814q63-0e55-2370-4x36-k13t6204rn91,67262h24-d547-4te9-hx7h-jkm0888l35bn,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/g87lmu12-i8l5-1972-27v6-802409k6w755/thumbs/g87lmu12-i8l5-1972-27v6-802409k6w755,0.0,0.0,970,789,20.1,41.17,958,774,Black,Knockout,LACK,NORMAL,0.55,PREFLIGHT_OK,2,2019-06-22 21:21:44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,0,40,1.2,F47,0.97,2,Freies_Format,Doppelseitig,angestrichen_altes_Profil,Poster
243p2vy6516lo381jom07t0g,j69k67h8-92d3-6349-kx28-167k9o5416y7,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/412x8s83-d784-46ov-6j7c-l871dh5n3397/content/412x8s83-d784-46ov-6j7c-l871dh5n3397,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/412x8s83-d784-46ov-6j7c-l871dh5n3397/content/412x8s83-d784-46ov-6j7c-l871dh5n3397,1,fzanotti8.pdf,87564v08-1e33-8865-3j95-g09x4695sy71,41109t24-h836-3ej7-oa4j-yrf7396t18mj,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/k15uxd36-f7o8-1788-00l0-838122b1x476/thumbs/k15uxd36-f7o8-1788-00l0-838122b1x476,0.0,0.0,1189,841,15.1,41.17,1179,826,Black,Unchanged,LACK,TRANSPARENT,0.05,PREFLIGHT_OK,2,2019-12-06 03:26:48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,0,5,1.4,F78,0.14,1,DIN_A0_Quer,Einseitig,gestrichen_neues_Profil,Poster
474o6dm4059wi933qaj99l9f,l36w87r0-72v0-1046-mc82-609s4d0507v1,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/592o3k21-h280-95wu-0a2j-v964pz0u4374/content/592o3k21-h280-95wu-0a2j-v964pz0u4374,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/592o3k21-h280-95wu-0a2j-v964pz0u4374/content/592o3k21-h280-95wu-0a2j-v964pz0u4374,1,dbuglar9.pdf,85219n53-4u57-3512-8r15-u87o0179ss57,83071t48-p148-0gi8-la8m-pjp2328z66nj,PREFLIGHT _OK,tenants/47072f63-1c04-4044-9e56-e39f2373df73/products/x40aul57-k3j0-7776-67k5-164275z9d242/thumbs/x40aul57-k3j0-7776-67k5-164275z9d242,0.0,0.0,1189,841,15.1,41.17,1179,825,Cyan,Unchanged,LACK,UNSPECIFIED,0.39,PREFLIGHT_OK,2,2020-01-02 22:43:47,Magenta,Unspecified,LACK,UNSPECIFIED,0.39,Yellow,Unchanged,LACK,NORMAL,0.95,Black,Knockout,LACK,NORMAL,0.81,MLS,0.07,0.01,0.03,0.0,Overprint,PRINTING,UNSPECIFIED,0.76,78,0,10,1.4,F52,0.2,2,DIN_A0_Quer,Doppelseitig,angestrichen_neues_Profil,Poster
